"drg","dc","pcl_min","pcl_max"
20503,2050,8,9
20510,2051,0,2
20511,2051,3,5
20512,2051,6,9
20520,2052,0,3
20521,2052,4,4
20522,2052,5,7
20523,2052,8,9
20539,2053,0,9
20540,2054,0,2
20541,2054,3,8
20542,2054,9,9
21010,2101,0,3
21011,2101,4,9
21020,2102,0,0
21021,2102,1,9
21039,2103,0,9
21040,2104,0,2
21041,2104,3,3
21042,2104,4,9
21079,2107,0,9
21500,2150,0,1
21501,2150,2,3
21502,2150,4,6
21503,2150,7,9
21510,2151,0,2
21511,2151,3,3
21512,2151,4,9
21520,2152,0,1
21521,2152,2,3
21522,2152,4,4
21523,2152,5,9
21530,2153,0,2
21531,2153,3,9
21540,2154,0,1
21541,2154,2,3
21542,2154,4,5
21543,2154,6,6
21544,2154,7,9
21550,2155,0,1
21551,2155,2,3
21552,2155,4,4
21553,2155,5,9
21560,2156,0,4
21561,2156,5,5
21562,2156,6,9
21570,2157,0,2
21571,2157,3,3
21572,2157,4,9
22019,2201,0,9
22029,2202,0,9
22050,2205,0,4
22051,2205,5,9
22069,2206,0,9
22070,2207,0,1
22071,2207,2,9
22500,2250,0,2
22501,2250,3,9
22510,2251,0,1
22511,2251,2,9
22520,2252,0,2
22521,2252,3,3
22522,2252,4,9
23039,2303,0,9
23040,2304,0,0
23041,2304,1,9
23059,2305,0,9
23060,2306,0,0
23061,2306,1,9
23079,2307,0,9
23500,2350,0,1
23501,2350,2,9
23510,2351,0,2
23511,2351,3,6
23512,2351,7,8
23513,2351,9,9
23520,2352,0,2
23521,2352,3,9
23530,2353,0,2
23531,2353,3,6
23532,2353,7,9
23540,2354,0,2
23541,2354,3,6
23542,2354,7,9
23550,2355,0,3
23551,2355,4,6
23552,2355,7,9
24010,2401,0,3
24011,2401,4,4
24012,2401,5,9
24059,2405,0,9
24110,2411,0,3
24111,2411,4,9
24120,2412,0,1
24121,2412,2,9
24140,2414,0,1
24141,2414,2,3
24142,2414,4,9
24170,2417,0,2
24171,2417,3,9
24180,2418,0,2
24181,2418,3,3
24182,2418,4,9
24190,2419,0,3
24191,2419,4,9
24200,2420,0,2
24201,2420,3,3
24202,2420,4,9
24210,2421,0,1
24211,2421,2,2
24212,2421,3,3
24213,2421,4,9
24220,2422,0,1
24221,2422,2,2
24222,2422,3,9
24230,2423,0,5
24231,2423,6,9
24500,2450,0,1
24501,2450,2,2
24502,2450,3,9
25019,2501,0,9
25029,2502,0,9
25039,2503,0,9
25049,2504,0,9
25500,2550,0,2
25501,2550,3,9
25510,2551,0,3
25511,2551,4,9
25520,2552,0,2
25521,2552,3,4
25522,2552,5,6
25523,2552,7,9
25530,2553,0,1
25531,2553,2,9
25540,2554,0,3
25541,2554,4,6
25542,2554,7,9
