"mdc","proc","pdc"
2,0835,2PG
2,0836,2PG
2,0837,2PG
2,0838,2PG
2,0841,2PG
2,0842,2PG
2,0843,2PG
2,0844,2PB
2,0849,2PG
2,0851,2PG
2,0852,2PG
2,0859,2PG
2,0861,2PG
2,0862,2PG
2,0863,2PG
2,0864,2PG
2,0869,2PG
2,0870,2PG
2,0871,2PG
2,0872,2PG
2,0873,2PG
2,0874,2PG
2,0881,2PG
2,0882,2PG
2,0883,2PG
2,0884,2PG
2,0885,2PG
2,0886,2PG
2,0887,2PG
2,0889,2PG
2,0891,2PG
2,0892,2PG
2,0893,2PG
2,0899,2PG
2,090,2PM
2,0911,2PM
2,0912,2PG
2,0919,2PG
2,0920,2PM
2,0921,2PM
2,0922,2PM
2,0923,2PM
2,093,2PM
2,0941,2PG
2,0942,2PG
2,0943,2PG
2,0944,2PG
2,0949,2PG
2,0951,2PG
2,0952,2PG
2,0953,2PG
2,0959,2PG
2,096,2PG
2,0971,2PG
2,0972,2PG
2,0973,2PG
2,0981,2PM
2,0982,2PM
2,0983,2PM
2,0991,2PG
2,0999,2PG
2,100,2PG
2,101,2PG
2,1021,2PG
2,1029,2PG
2,1031,2PG
2,1032,2PG
2,1033,2PG
2,1041,2PG
2,1042,2PG
2,1043,2PG
2,1044,2PG
2,1049,2PG
2,105,2PG
2,106,2PG
2,1099,2PG
2,110,2PG
2,111,2PG
2,1121,2PG
2,1122,2PG
2,1129,2PG
2,1131,2PG
2,1132,2PG
2,1139,2PG
2,1141,2PG
2,1142,2PG
2,1143,2PG
2,1149,2PG
2,1151,2PD
2,1152,2PD
2,1153,2PD
2,1159,2PD
2,1160,2PJ
2,1161,2PJ
2,1162,2PJ
2,1163,2PJ
2,1164,2PJ
2,1169,2PJ
2,1171,2PJ
2,1172,2PJ
2,1173,2PJ
2,1174,2PJ
2,1175,2PD
2,1176,2PJ
2,1179,2PD
2,1191,2PG
2,1192,2PG
2,1199,2PG
2,1200,2PD
2,1201,2PD
2,1202,2PD
2,1211,2PD
2,1212,2PD
2,1213,2PD
2,1214,2PD
2,1221,2PD
2,1222,2PD
2,1229,2PD
2,1231,2PD
2,1232,2PD
2,1233,2PD
2,1234,2PD
2,1235,2PD
2,1239,2PD
2,1240,2PD
2,1241,2PD
2,1242,2PD
2,1243,2PD
2,1244,2PD
2,1251,2PD
2,1252,2PD
2,1253,2PD
2,1254,2PD
2,1255,2PD
2,1259,2PD
2,1261,2PD
2,1262,2PD
2,1263,2PD
2,1264,2PD
2,1265,2PD
2,1266,2PD
2,1267,2PD
2,1269,2PD
2,1271,2PD
2,1272,2PD
2,1273,2PD
2,1274,2PD
2,1279,2PD
2,1281,2PD
2,1282,2PD
2,1283,2PD
2,1284,2PD
2,1285,2PD
2,1286,2PD
2,1287,2PD
2,1288,2PD
2,1289,2PD
2,1291,2PD
2,1292,2PG
2,1293,2PD
2,1297,2PD
2,1298,2PD
2,1299,2PD
2,1300,2PF
2,1301,2PF
2,1302,2PF
2,1311,2PF
2,1311>1,2PL
2,1319,2PF
2,1319>1,2PL
2,132,2PF
2,132>1,2PL
2,133,2PF
2,133>1,2PL
2,1341,2PE
2,1341>1,2PK
2,1342,2PE
2,1342>1,2PK
2,1343,2PE
2,1343>1,2PK
2,1351,2PF
2,1351>1,2PL
2,1359,2PF
2,1359>1,2PL
2,1364,2PF
2,1364>1,2PL
2,1365,2PF
2,1365>1,2PL
2,1366,2PD
2,1366>1,2PL
2,1369,2PF
2,1369>1,2PL
2,1370,2PF
2,1370>1,2PL
2,1371,2PF
2,1372,2PF
2,1372>1,2PL
2,138,2PE
2,138>1,2PK
2,1390,2PF
2,1391,2PE
2,1400,2PA
2,1401,2PA
2,1402,2PA
2,1411,2PA
2,1419,2PA
2,1421,2PA
2,1422,2PA
2,1423,2PA
2,1424,2PA
2,1425,2PA
2,1426,2PA
2,1427,2PA
2,1429,2PA
2,1431,2PA
2,1432,2PA
2,1433,2PA
2,1434,2PA
2,1435,2PA
2,1439,2PA
